166,sdtx0000001,09/20/2020-18:54:32,475,44
167,sdtx0000001,09/20/2020-18:54:41,475,45
168,sdtx0000001,09/20/2020-18:54:53,475,44
169,sdtx0000001,09/20/2020-18:55:05,476,44
170,sdtx0000001,09/20/2020-18:55:11,473,44
171,sdtx0000001,09/20/2020-18:55:27,473,45
172,sdtx0000001,09/20/2020-18:55:32,473,44
173,sdtx0000001,09/20/2020-18:55:48,459,44
174,sdtx0000001,09/20/2020-18:55:50,475,41
175,sdtx0000001,09/20/2020-18:56:08,475,43
176,sdtx0000001,09/20/2020-18:56:11,475,44
177,sdtx0000001,09/20/2020-18:56:31,473,44
178,sdtx0000001,09/20/2020-18:56:41,474,45
179,sdtx0000001,09/20/2020-18:56:52,475,45
180,sdtx0000001,09/20/2020-18:57:02,475,42
181,sdtx0000001,09/20/2020-18:57:14,475,41
182,sdtx0000001,09/20/2020-18:57:26,463,44
183,sdtx0000001,09/20/2020-18:57:33,473,43
184,sdtx0000001,09/20/2020-18:57:41,474,43
185,sdtx0000001,09/20/2020-18:57:50,453,44
186,sdtx0000001,09/20/2020-18:58:20,475,44
187,sdtx0000001,09/20/2020-18:58:35,471,44
188,sdtx0000001,09/20/2020-18:59:05,475,44
189,sdtx0000001,09/20/2020-18:59:18,475,41
190,sdtx0000001,09/20/2020-18:59:20,463,44
191,sdtx0000001,09/20/2020-20:12:21,458,28
192,sdtx0000001,09/20/2020-20:12:29,473,29
193,sdtx0000001,09/20/2020-20:12:41,475,28
194,sdtx0000001,09/20/2020-20:12:53,475,29
195,sdtx0000001,09/20/2020-20:13:02,475,28
196,sdtx0000001,09/20/2020-20:13:15,463,29
197,sdtx0000001,09/20/2020-20:14:42,475,29
198,sdtx0000001,09/20/2020-20:15:54,475,28
199,sdtx0000001,09/20/2020-20:16:06,473,29
200,sdtx0000001,09/20/2020-20:16:24,459,28
201,sdtx0000001,09/20/2020-20:16:39,475,12
202,sdtx0000001,09/20/2020-20:16:46,473,12
203,sdtx0000001,09/20/2020-20:17:02,463,12
204,sdtx0000001,09/20/2020-20:17:18,475,28
205,sdtx0000001,09/20/2020-20:17:24,463,29
206,sdtx0000001,09/20/2020-20:17:40,475,12
207,sdtx0000001,09/20/2020-20:17:45,475,12
208,sdtx0000001,09/20/2020-20:17:57,475,10
209,sdtx0000001,09/20/2020-20:18:09,473,12
210,sdtx0000001,09/20/2020-20:18:31,475,28
211,sdtx0000001,09/20/2020-20:22:16,473,13
212,sdtx0000001,09/20/2020-20:22:21,475,11
213,sdtx0000001,09/20/2020-20:22:33,475,12
214,sdtx0000001,09/20/2020-20:23:03,475,12
215,sdtx0000001,09/20/2020-20:23:13,475,13
216,sdtx0000001,09/20/2020-20:23:25,473,13
217,sdtx0000001,09/20/2020-20:23:33,473,11
218,sdtx0000001,09/20/2020-20:23:43,454,13
219,sdtx0000001,09/20/2020-20:23:54,474,12
220,sdtx0000001,09/20/2020-20:24:03,475,12
221,sdtx0000001,09/20/2020-20:24:12,476,12
222,sdtx0000001,09/20/2020-20:24:30,472,14
223,sdtx0000001,09/20/2020-20:24:33,474,14
224,sdtx0000001,09/20/2020-20:24:48,473,12
225,sdtx0000001,09/20/2020-20:24:54,472,12
226,sdtx0000001,09/20/2020-20:26:09,474,13
227,sdtx0000001,09/20/2020-20:26:18,475,14
228,sdtx0000001,09/20/2020-20:26:31,475,13
229,sdtx0000001,09/20/2020-20:26:45,463,12
230,sdtx0000001,09/20/2020-20:27:03,471,13
231,sdtx0000001,09/20/2020-20:27:16,474,11
232,sdtx0000001,09/20/2020-20:27:43,476,12
233,sdtx0000001,09/20/2020-20:28:19,474,0
234,sdtx0000001,09/20/2020-20:28:43,475,13
235,sdtx0000001,09/20/2020-20:28:49,474,14
236,sdtx0000001,09/20/2020-20:29:04,476,12
237,sdtx0000001,09/20/2020-20:29:35,473,12
238,sdtx0000001,09/20/2020-20:30:04,474,12
239,sdtx0000001,09/20/2020-20:30:29,471,12
240,sdtx0000001,09/20/2020-20:31:04,475,11
241,sdtx0000001,09/20/2020-20:31:13,471,11
242,sdtx0000001,09/20/2020-20:31:43,475,11
243,sdtx0000001,09/20/2020-20:32:04,473,12
244,sdtx0000001,09/20/2020-20:32:22,475,11
245,sdtx0000001,09/20/2020-20:32:48,475,12
246,sdtx0000001,09/20/2020-20:32:53,475,12
247,sdtx0000001,09/20/2020-20:33:08,475,12
248,sdtx0000001,09/20/2020-20:33:23,473,12
249,sdtx0000001,09/20/2020-20:33:43,475,11
250,sdtx0000001,09/20/2020-20:34:19,463,0
251,sdtx0000001,09/20/2020-20:34:34,463,11
252,sdtx0000001,09/20/2020-20:34:43,475,11
253,sdtx0000001,09/20/2020-20:34:53,475,12
254,sdtx0000001,09/20/2020-20:35:07,452,28
255,sdtx0000001,09/20/2020-20:35:11,473,29
256,sdtx0000001,09/20/2020-20:35:31,476,28
257,sdtx0000001,09/20/2020-20:35:47,473,28
258,sdtx0000001,09/20/2020-20:36:05,463,26
259,sdtx0000001,09/20/2020-20:36:15,475,29
260,sdtx0000001,09/20/2020-20:36:29,463,29
261,sdtx0000001,09/20/2020-20:37:11,473,43
262,sdtx0000001,09/20/2020-20:37:51,475,27
263,sdtx0000001,09/20/2020-20:38:12,463,27
264,sdtx0000001,09/20/2020-20:39:13,475,27
265,sdtx0000001,09/20/2020-20:40:48,473,11
266,sdtx0000001,09/20/2020-20:41:14,477,11
267,sdtx0000001,09/20/2020-20:42:42,473,42
268,sdtx0000001,09/20/2020-20:42:50,473,42
269,sdtx0000001,09/20/2020-20:43:23,473,42
270,sdtx0000001,09/20/2020-20:43:32,474,26
271,sdtx0000001,09/20/2020-20:43:46,471,26
272,sdtx0000001,09/20/2020-20:44:05,456,11
273,sdtx0000001,09/20/2020-20:44:26,475,11
274,sdtx0000001,09/20/2020-20:44:32,475,11
275,sdtx0000001,09/20/2020-20:44:48,474,11
276,sdtx0000001,09/20/2020-20:45:05,452,25
277,sdtx0000001,09/20/2020-20:45:35,475,11
278,sdtx0000001,09/20/2020-21:12:31,463,0
1000,sdtx0000001,09/20/2020-18:12:34,463,59
1001,sdtx0000001,09/20/2020-18:12:34,500,59
1002,sdtx0000001,09/20/2020-18:12:34,500,500
1003,sdtx0000001,09/21/2020-18:09:28,463,0
